report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	off_road_description	related_non_motorist	collision_type	weather	light	traffic_control	driver_substance_abuse	non_motorist_substance_abuse	person_id	pedestrian_type	pedestrian_movement	pedestrian_actions	pedestrian_location	pedestrian_obeyed_traffic_signal	pedestrian_visibility	at_fault	injury_severity	safety_equipment	route_type	surface_condition
MCP2455004P	220002544	Montgomery County Police	Injury Crash	2022-01-20T15:40:00.000	PARKING LOT OF 12051 ROCKVILLE PIKE	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	9A3FFC8F-03E9-47A5-907C-0FA7DB010C08	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP1323001N	220002521	Montgomery County Police	Property Damage Crash	2022-01-20T14:30:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION SIDESWIPE	CLOUDY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	FA4F0B13-20B2-4B19-B9A4-2D548F3E562E	BICYCLIST	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	DARK CLOTHING	UNKNOWN	NO APPARENT INJURY	MC/BIKE HELMET	Maryland (State)	WET
MCP29050056	220002282	Montgomery County Police	Injury Crash	2022-01-19T06:49:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLOUDY	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	UNKNOWN	2B085D08-63A1-46EE-A069-02200307D912	PEDESTRIAN	Cross/Enter at Intersection	NOT VISIBLE	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	UNKNOWN	SUSPECTED SERIOUS INJURY	NONE	County	WET
MCP263900DL	220002119	Montgomery County Police	Property Damage Crash	2022-01-18T07:46:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	D3B73550-DAB0-42D2-B311-E745785BE1D4	PEDESTRIAN	Cross/Enter not at Intersection	DART DASH	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	NO APPARENT INJURY	NONE	County	SNOW
MCP23480065	220002096	Montgomery County Police	Fatal Crash	2022-01-17T18:26:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	81EC19F8-138A-4793-AE5C-F44F72E332B3	PEDESTRIAN	Cross/Enter at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	FATAL INJURY	NONE	Maryland (State)	DRY
MCP2492001R	220002081	Montgomery County Police	Fatal Crash	2022-01-17T17:37:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	UNKNOWN	3022BF97-E091-41CC-804C-94F74CB8B12E	PEDESTRIAN	Cross/Enter at Intersection	DART DASH	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	FATAL INJURY	NONE	Maryland (State)	DRY
DD5633006H	220001938	Rockville Police Departme	Injury Crash	2022-01-16T11:25:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	ALCOHOL PRESENT	3011C2D6-0CED-447E-9499-BA704B26346A	PEDESTRIAN	Cross/Enter at Intersection	DART DASH	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3264002B	220001928	Montgomery County Police	Property Damage Crash	2022-01-16T07:51:00.000	UNKNOWN	OTHER	SINGLE VEHICLE	CLEAR	DARK -- UNKNOWN LIGHTING	NO CONTROLS	UNKNOWN	NONE DETECTED	AF274216-1AD5-454F-9D97-9431A8904F78	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	No	NO APPARENT INJURY	NONE	County	DRY
MCP30740052	220001763	Montgomery County Police	Injury Crash	2022-01-14T17:50:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	57C606A2-6E53-4BCB-83FA-E3B155DA227C	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
DD5633006G	220001677	Rockville Police Departme	Injury Crash	2022-01-14T11:00:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLOUDY	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	9F7A5A60-05FF-4068-A764-F67CDC282FEB	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	Municipality	DRY
MCP1227001K	220001661	Montgomery County Police	Fatal Crash	2022-01-14T08:30:00.000	UNKNOWN	BICYCLIST	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	1ED8B103-7F63-49BA-A233-46ABEF4895CA	BICYCLIST	Cross/Enter at Intersection	FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER	AT INTERSECTION MARKED CROSSWALK	DISOBEYED PED. SIGNAL	MIXED CLOTHING	Yes	FATAL INJURY	NONE	Maryland (State)	DRY
EJ7884003L	220001618	Gaithersburg Police Depar	Injury Crash	2022-01-13T19:35:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	STOP SIGN	UNKNOWN	UNKNOWN	CF57760C-6B88-4E44-848F-125019BB308D	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	Municipality	DRY
MCP3078004K	220001415	Montgomery County Police	Injury Crash	2022-01-12T15:29:00.000	13464 NEW HAMPSHIRE AVENUE	PEDESTRIAN	OTHER	OTHER	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	6728B5EC-E97A-462E-A4FE-BFB663C63619	PEDESTRIAN	Getting off/on Vehicle	INATTENTIVE	OTHER	OTHER	MIXED CLOTHING	Yes	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP2919008Z	220001171	Montgomery County Police	Injury Crash	2022-01-10T18:40:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	DARK LIGHTS ON	OTHER	NONE DETECTED	NONE DETECTED	36EE2F6F-03DC-4B0A-8BB3-70D5039FB81B	PEDESTRIAN	Cross/Enter not at Intersection	FAILURE TO YIELD RIGHT OF WAY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3124004Z	220001172	Montgomery County Police	Injury Crash	2022-01-10T18:26:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	UNKNOWN	6A3E6C66-869F-4C21-8499-A1E720E497B4	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	County	DRY
MCP3121004N	220001180	Montgomery County Police	Property Damage Crash	2022-01-10T18:23:00.000	CROSSING AREA NEXT TO 18621 WALKERS CHOICE ROAD	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	NONE DETECTED	DC903203-C8B8-4923-9B25-8B96D05716C9	PEDESTRIAN	OTHER	OTHER	OUTSIDE RIGHT OF WAY	NO PED. SIGNAL	MIXED CLOTHING	Yes	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP26350074	220001045	Montgomery County Police	Injury Crash	2022-01-09T20:39:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	5E010D71-040D-497E-B3F7-ED06A05284E9	PEDESTRIAN	Walking/Riding against Traffic	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	County	WET
MCP31630043	220001026	Montgomery County Police	Injury Crash	2022-01-09T17:34:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	RAINING	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	E14B39FB-7C9C-4500-B0B5-918A6B15FC0B	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	HEAD LIGHT	No	POSSIBLE INJURY	NONE	Maryland (State)	WET
MCP2850001Z	220000526	Montgomery County Police	Injury Crash	2022-01-05T13:44:00.000	PARKING LOT OF KENTLANDS MANOR SENIOR APARTMENTS LOCATED AT 221 BOOTH ST	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	3269BC59-AE63-48E4-9898-51F7999A0979	PEDESTRIAN	Cross/Enter not at Intersection	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
EJ78440014	220000415	Gaithersburg Police Depar	Injury Crash	2022-01-04T15:30:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	387D2082-1F64-4AA6-8268-704CEFBA9137	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	OTHER	No	SUSPECTED MINOR INJURY	NONE	OTHER	DRY
MCP31630042	220000205	Montgomery County Police	Property Damage Crash	2022-01-02T18:24:00.000	PARKING LOT OF 11845 OLD GEORGETOWN RD (HARRIS TEETER)	OTHER	OTHER	CLEAR	DUSK	OTHER	UNKNOWN	UNKNOWN	AB4C0BCC-8342-4A67-84CB-E20C15EE060D	OTHER	OTHER	INATTENTIVE	OTHER	OTHER	OTHER	Yes	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP30180049	220000180	Montgomery County Police	Injury Crash	2022-01-02T16:49:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	7B6421A8-59F8-47CB-A1C5-532050BED017	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP2450003V	220000178	Montgomery County Police	Injury Crash	2022-01-02T16:20:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	OTHER	OTHER	UNKNOWN	ALCOHOL CONTRIBUTED	32D36CC3-596D-4D22-A61A-B527E8B134D5	PEDESTRIAN	OTHER	OTHER	CURB	OTHER	OTHER	Yes	SUSPECTED SERIOUS INJURY	NONE	Maryland (State)	WET
MCP3016003F	210053339	Montgomery County Police	Injury Crash	2021-12-31T13:57:00.000	PARKING LOT 12949 WISTERIA DRIVE (7-11)	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	STOP SIGN	UNKNOWN	UNKNOWN	44672A1C-E062-4094-B6EB-E2F1C9D195EA	PEDESTRIAN	Cross/Enter at Intersection	OTHER	AT INTERSECTION BUT NO CROSSWALK	OTHER	LIGHT CLOTHING	UNKNOWN	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3112005R	210053334	Montgomery County Police	Injury Crash	2021-12-31T12:18:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	FCB3B52D-BCE5-442E-B219-669AC1A6739C	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3112005R	210053334	Montgomery County Police	Injury Crash	2021-12-31T12:18:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	04F1C0FC-3A11-4E17-9259-172DC64BCE85	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP2965005L	210053307	Montgomery County Police	Injury Crash	2021-12-31T08:35:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLOUDY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	927B0794-4F49-4339-9BB7-A6D8748F87C3	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	WET
MCP2330003D	210053221	Montgomery County Police	Injury Crash	2021-12-30T15:38:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	8AD4A919-F302-4077-BA22-8443176B7F0B	BICYCLIST	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	ON ROADWAY NOT AT CROSSWALK	DISOBEYED PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	WET
MCP32330028	210053101	Montgomery County Police	Injury Crash	2021-12-29T19:02:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	RAINING	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	2F8E7A71-9368-44EA-AB39-C6A8084FF0C8	PEDESTRIAN	Cross/Enter at Intersection	INATTENTIVE	AT INTERSECTION BUT NO CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	WET
DD5653000K	210052830	Rockville Police Departme	Injury Crash	2021-12-27T18:35:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK NO LIGHTS	NO CONTROLS	UNKNOWN	UNKNOWN	519B501D-D7C4-4AE9-80A8-ED834B05512E	PEDESTRIAN	Walking/Riding w/Traffic	NOT VISIBLE	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Municipality	DRY
MCP12130066	210052617	Montgomery County Police	Injury Crash	2021-12-25T21:41:00.000	UNKNOWN	PEDESTRIAN	SAME DIRECTION SIDESWIPE	RAINING	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	40148C04-15A7-46E7-81E1-D5EF0944179C	PEDESTRIAN	Walking/Riding against Traffic	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	County	WET
MCP9386008Z	210052390	Montgomery County Police	Property Damage Crash	2021-12-23T18:10:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	OTHER	NONE DETECTED	NONE DETECTED	EFBDCC07-B68A-4ACE-A055-1D5402D70B37	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	NO APPARENT INJURY	NONE	County	DRY
DD5583006V	210052325	Rockville Police Departme	Injury Crash	2021-12-23T12:11:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	0A2D88EA-6A84-4738-A6C0-2C2C3F19B947	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	DRIVEWAY ACCESS MARKED CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
DD5583006V	210052325	Rockville Police Departme	Injury Crash	2021-12-23T12:11:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	9884385A-7BBA-458D-B41C-94EC54E51743	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	DRIVEWAY ACCESS MARKED CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP31700028	210052095	Montgomery County Police	Injury Crash	2021-12-21T20:03:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	0D5AE67D-F844-4D47-A6E8-8BAEC07BF5EC	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	NO APPARENT INJURY	NONE	Maryland (State)	DRY
MCP3022004J	210052054	Montgomery County Police	Injury Crash	2021-12-21T15:53:00.000	PARKING LOT OF 9809 MAIN ST	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	008CB9F0-5296-4577-AFC1-3BF666229593	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	OTHER	OTHER	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2286003W	210052044	Montgomery County Police	Injury Crash	2021-12-21T15:25:00.000	IN FRONT OF 7955 TUCKERMAN LN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	BD10D456-4C30-46D1-949E-005057C25BC1	PEDESTRIAN	OTHER	OTHER	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
DD5636004M	210051597	Rockville Police Departme	Injury Crash	2021-12-18T17:24:00.000	MOBIL GAS STATION 890 ROCKVILLE PIKE	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	0229991B-0437-4E5F-B264-FC6DCB517657	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP32690018	210051319	Montgomery County Police	Injury Crash	2021-12-17T06:44:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	NONE DETECTED	3404C590-7366-4C36-8AC3-5A84B702E5C2	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
DM8499000R	210051181	Takoma Park Police Depart	Injury Crash	2021-12-16T13:32:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	DD86E285-E3A1-4E41-BDF0-6ACDBDDB3A09	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	OTHER	OTHER	REFLECTIVE MATERIAL	No	SUSPECTED SERIOUS INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP284800BQ	210051102	Montgomery County Police	Injury Crash	2021-12-16T08:08:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	E65355DC-180E-4B72-99EC-0BF75FD19A66	BICYCLIST	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	MC/BIKE HELMET	Maryland (State)	DRY
DD56280055	210050819	Rockville Police Departme	Injury Crash	2021-12-14T12:56:00.000	PARKING LOT OF 838 ROCKVILLE PK	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	NONE DETECTED	1060C3AB-7E23-4D56-AED8-DB17A6CF4527	PEDESTRIAN	Getting off/on Vehicle	OTHER	OTHER	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	OTHER	UNKNOWN
DM84890012	210050804	Takoma Park Police Depart	Injury Crash	2021-12-14T11:23:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	4843BC48-43D3-4A64-B2C5-F8AE96455165	PEDESTRIAN	Standing	OTHER	SHOULDER	OTHER	DARK CLOTHING	No	POSSIBLE INJURY	NONE	Municipality	DRY
MCP31090064	210050789	Montgomery County Police	Injury Crash	2021-12-14T10:25:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	AEDD9EB3-9DAE-43CC-9EFF-E3F6A21D7A5E	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	US (State)	DRY
MCP3200004H	210050607	Montgomery County Police	Injury Crash	2021-12-13T11:02:00.000	UNKNOWN	OTHER	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	CB709E8F-111B-4219-8EB3-84F1BF89C508	OTHER	OTHER	OTHER	OTHER	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Municipality	DRY
MCP12100052	210050367	Montgomery County Police	Injury Crash	2021-12-11T13:52:00.000	SHOPPING CENTER AT 480 N. FREDERICK AVE	PEDESTRIAN	OTHER	CLOUDY	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	3BBE8313-8DAC-4603-A59E-1A8EE8562C1A	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2766006N	210050029	Montgomery County Police	Injury Crash	2021-12-09T15:22:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	BD24B073-C388-4597-ACCA-C6AFE3342B01	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP33000017	210049817	Montgomery County Police	Injury Crash	2021-12-08T10:45:00.000	2519 ENNALS AVE WHEATON MD 20902	PEDESTRIAN	SINGLE VEHICLE	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	53293DF6-5B3B-41EC-A735-B620FB66C225	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	INSIDE BUILDING	OTHER	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
EJ7889001N	210049729	Gaithersburg Police Depar	Injury Crash	2021-12-07T16:40:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DUSK	NO CONTROLS	NONE DETECTED	NONE DETECTED	94C668F7-497B-47F1-9AA5-00C48CCBFFFA	PEDESTRIAN	Getting off/on Vehicle	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP3182001J	210048951	Montgomery County Police	Injury Crash	2021-12-07T16:04:00.000	PARKINGLOT OF 3905 BLACKBURN LN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	AF255521-E9B3-4327-A078-CB41711FC5DA	PEDESTRIAN	Walking to/from school	NOT VISIBLE	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2008008Z	210049574	Montgomery County Police	Injury Crash	2021-12-06T17:08:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLOUDY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	D4DEB07B-CA3C-4FE7-8CA5-C791D8B8A6B4	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Other Public Roadway	DRY
MCP3113003H	210049437	Montgomery County Police	Injury Crash	2021-12-06T06:00:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	0488ED39-C216-431B-BC99-5898A9A2E4F6	PEDESTRIAN	Cross/Enter at Intersection	DART DASH	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3112005P	210049341	Montgomery County Police	Injury Crash	2021-12-05T09:10:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	2E6DA2BC-A214-4943-8D1A-4B451F841F5F	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP29300021	210049298	Montgomery County Police	Injury Crash	2021-12-04T20:30:00.000	PARKING LOT AT 12301 GEORGIA AVE (MCDONALDS)	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	NONE DETECTED	4C488E43-F17C-4A4D-B621-C17ABFC2DB02	PEDESTRIAN	OTHER	OTHER	OTHER	OTHER	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP1119009G	210049041	Montgomery County Police	Injury Crash	2021-12-03T08:18:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	81F0566A-1B87-4FBF-9475-7295ACB734F6	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	UNKNOWN
